stratum_id,lon,lat
14,-71.8262562784941,39.9546395599566
14,-71.8179323450981,39.954639624506
14,-71.8096006462506,39.95372462697
14,-71.8000788349947,39.9528096262525
14,-71.7917547120872,39.9518946038502
14,-71.7846134867568,39.950977338761
14,-71.7762893731805,39.95097740319
14,-71.7679576838654,39.9509774676777
14,-71.7608164677914,39.9509775229511
14,-71.7536826380695,39.9500624664246
14,-71.7465412408716,39.9500625269631
14,-71.7405901357339,39.9500625836375
14,-71.7344826457913,39.9500759687611
14,-71.6914105216884,39.9048029271686
14,-71.6543738149136,39.8658514326587
14,-71.6620644329567,39.8639320970578
14,-71.6692058106883,39.8620972259521
14,-71.6751568956841,39.8602623163124
14,-71.6822906974026,39.8584273466199
14,-71.6882417908808,39.8575131579831
14,-71.6930027616126,39.8554957473753
14,-71.7013266672512,39.8528354137718
14,-71.7084680345023,39.8499948083293
14,-71.7156093988721,39.8468782429318
14,-71.7179897946203,39.8459572581641
14,-71.7191800800522,39.8452253619106
14,-71.7263138665025,39.8419217044845
14,-71.7322649333167,39.8383442462592
14,-71.745349780246,39.8309173001789
14,-71.7513008420331,39.8269721134615
14,-71.7560617931668,39.8233026522197
14,-71.7608151728787,39.8200914292855
14,-71.7655759386529,39.8159631375914
14,-71.7727172777206,39.8108241138128
14,-71.7786683264016,39.8058694592178
14,-71.7846119839523,39.8013730064371
14,-71.791753137617,39.7958633360457
14,-71.8000771833621,39.7899880855993
14,-71.8060282359947,39.7855841013
14,-71.8143598563808,39.7797079665163
14,-71.8203108987673,39.7743836162805
14,-71.8274446527092,39.7686913748234
14,-71.8345859685619,39.7617157394624
14,-71.8452903854618,39.7531733891835
14,-71.8500511604096,39.7503286638893
14,-71.8548120984216,39.7464701781104
14,-71.8702772610914,39.7345279835263
14,-71.8797989710433,39.7280992703321
14,-71.8893132898544,39.722035444977
14,-71.8976447215672,39.7167043618509
14,-71.903595760145,39.7121128872941
14,-71.9095394065794,39.7077908224343
14,-71.9131100519842,39.7039344037708
14,-71.9166805271657,39.7009003812789
14,-71.920251168947,39.6967626674419
14,-71.9262023713035,39.6908811487872
14,-71.9309555285058,39.685181977357
14,-71.9369065547183,39.6796651824782
14,-71.9428577657362,39.6745159192011
14,-71.9476184993745,39.6689068301896
14,-71.9511815476048,39.6633909718725
14,-71.955942467146,39.6582427247821
14,-71.9583228009184,39.6528130199581
14,-71.9630837006321,39.6461000134129
14,-71.9690271316598,39.6391118924471
14,-71.9737880298198,39.6323015898244
14,-71.9785487613867,39.6265997795193
14,-71.9821193925837,39.6217210674978
14,-71.9856900086563,39.6156478646858
14,-71.9904433514184,39.6104938026492
14,-71.9928237146452,39.6074578841622
14,-71.9963943734053,39.6047901734538
14,-72.0011551211298,39.6004658155419
14,-72.0071063279614,39.5953083818678
14,-72.016620474349,39.5905234344382
14,-72.0225715437591,39.5887728021191
14,-72.0237618319009,39.5885896946993
14,-72.0273324961181,39.5864728126167
14,-72.0344662545785,39.5826966471623
14,-72.0427976953017,39.5786455767329
14,-72.0499390224094,39.5743195653662
14,-72.0558824774338,39.5695309422445
14,-72.0618335151214,39.5652937118818
14,-72.0665944416004,39.5609691070523
14,-72.0701650845621,39.5571915598584
14,-72.0749184316953,39.5525871822639
14,-72.0784890547029,39.5472429580207
14,-72.083249800587,39.5429127498681
14,-72.0856301530421,39.5391364523454
14,-72.0903910757061,39.5345286322012
14,-72.095144414446,39.5292790992674
14,-72.1010954423355,39.5243018342432
14,-72.1046660944382,39.5212621065555
14,-72.1082367535455,39.5187743438723
14,-72.1141877989233,39.5151800010534
14,-72.118941159735,39.5116793655968
14,-72.1248921932659,39.5071613615792
14,-72.1344063288112,39.5016302481542
14,-72.141547664926,39.4979455689942
14,-72.1474987262162,39.4954547154062
14,-72.1546400824062,39.4933371845413
14,-72.1593934768221,39.4924159066788
14,-72.1641542742545,39.4921363729118
14,-72.1701053610341,39.4917696244327
14,-72.1748663399714,39.4915840039945
14,-72.1879512336707,39.4913088953476
14,-72.1927122213682,39.491861185277
14,-72.2010361404346,39.4921361793586
14,-72.2081775284877,39.4926884501933
14,-72.2153189165495,39.4932429526587
14,-72.2212624352269,39.4935201897784
14,-72.2272137132601,39.494074691821
14,-72.2343549230325,39.4948102984752
14,-72.2402986274375,39.4955459035782
14,-72.2522008228338,39.4967487832882
14,-72.2533911127986,39.4967487786591
14,-72.254581226659,39.4971132289468
14,-72.2629053285903,39.4978532801116
14,-72.2700467162246,39.498591092104
14,-72.27599781815,39.4996955779948
14,-72.2831316422505,39.5013567514423
14,-72.2902730448971,39.5031989777777
14,-72.2962241599667,39.5052267186898
14,-72.3021677028691,39.5075316118529
14,-72.3045482898655,39.5080837874171
14,-72.3069286941035,39.5084504085753
14,-72.3188309076298,39.5112156763438
14,-72.3247746273481,39.5132454169991
14,-72.3283453381169,39.5149040423183
14,-72.3331061608377,39.5167481513022
14,-72.3378671721608,39.5192337150059
14,-72.3438107138286,39.5214464999975
14,-72.3473814245484,39.5231026929306
14,-72.3521424335264,39.5254069931218
14,-72.3557129638911,39.5270653258228
14,-72.3592836770059,39.5289091140295
14,-72.3640371149752,39.5315819622196
14,-72.3652274120278,39.5321361845354
14,-72.3687981227226,39.5337921205654
14,-72.3723688334421,39.5354502514633
14,-72.3759393673369,39.5373854342142
14,-72.3795100756698,39.5388580104996
14,-72.3830807934826,39.541070174449
14,-72.3866439331634,39.5430945762445
14,-72.3890245378778,39.5450317831176
14,-72.3949756776021,39.5489931638464
14,-72.3961658107632,39.5508341400458
14,-72.3985464118559,39.5524896310814
14,-72.4009268409039,39.5547951914407
14,-72.4033072710929,39.5571900331785
14,-72.4044900077528,39.5589414339564
14,-72.4056803283186,39.5613316682627
14,-72.4056803625565,39.5640032761714
14,-72.4068705087258,39.5668601690088
14,-72.4068705405556,39.5693439426707
14,-72.4068705547241,39.5704495504784
14,-72.4092512596791,39.580211622103
14,-72.4104414128417,39.5836149547628
14,-72.411631739364,39.5864710329936
14,-72.4116317711813,39.5889540983719
14,-72.4128220964962,39.5917161754573
14,-72.4140122426064,39.5945696843453
14,-72.4152025714902,39.5976106176841
14,-72.4152026056454,39.6002763511228
14,-72.4163929050041,39.6010130889388
14,-72.416392919163,39.6021181875098
14,-72.4175830381463,39.6028549055795
14,-72.4187733257194,39.6026718375006
14,-72.4199634352636,39.602671833065
14,-72.4211536956662,39.6003678639966
14,-72.4211536791917,39.5990818966507
14,-72.4223439490906,39.5975190522672
14,-72.4223439137097,39.5947572039144
14,-72.4223438747519,39.5917161398172
14,-72.4223438264098,39.5879425325201
14,-72.4223437804394,39.5843540640554
14,-72.4223437438789,39.5815001265294
14,-72.4211534244565,39.5791976897412
14,-72.4211533961608,39.5769889709126
14,-72.4211533619415,39.5743178673163
