1276620.125,-71119.9453125
1275679.75,-67280.5078125
1269850.875,-62436.5234375
1266617.75,-60177.3828125
1259266.125,-56357.234375
1248061,-42062.91796875
1234720.125,-30240.26171875
1226535.75,-27591.466796875
1214948.25,-28337.64453125
1204719.875,-28336.20703125
1179425.25,6933.248046875
1148400,14679.3974609375
1140199.75,22879.990234375
1128730.125,23420.908203125
1117800,17960.775390625
1113359.875,-3669.39892578125
1087420.75,-24567.923828125
1086417,-33722.64453125
1079630.25,-68910.171875
1061070,-80033.359375
1056752.75,-98911.7734375
1045961.1875,-112485.046875
1048789.25,-114572.3984375
1055445,-107808.375
1071666.75,-98221.7578125
1073526.125,-96188.171875
1085899.75,-78209.828125
1121106.125,-68346.4375
1123689.25,-68688.1953125
1126245.25,-68428.828125
1130607.125,-66285.4765625
1134806.25,-64990.609375
1137148.25,-64089.4453125
1144457.75,-62459.01171875
1149531,-62169.17578125
1163471.125,-61783.59375
1169030,-63079.65625
1181094.875,-63102.671875
1187389.75,-63479.05078125
1195432.25,-63316.08984375
1207828.25,-62373.05078125
1232393.75,-62724.359375
1253549.75,-76499.3203125
1265759.625,-92159.2109375
1267799.875,-89979.5546875
1268810.25,-87589.328125
1270259.875,-84189.5234375
1273880,-77609.2109375
1276620.125,-71119.9453125
