-70.21664,42.76672
-70.03506,42.0933
-70.05434,42.10239
-70.06707,42.10081
-70.08658,42.11752
-70.10607,42.12038
-70.12388,42.12675
-70.14005,42.12853
-70.15497,42.13342
-70.17292,42.13481
-70.19605,42.1321
-70.21707,42.13339
-70.23889,42.1297
-70.25585,42.12435
-70.278,42.11526
-70.47043,42.12924
-70.59737,42.5483
-70.58697,42.5585
-70.58388,42.56347
-70.57254,42.57522
-70.55558,42.58075
-70.54179,42.5879
-70.52843,42.59504
-70.51587,42.60651
-70.50588,42.62107
-70.50132,42.63312
-70.5013,42.64245
-70.50262,42.65123
-70.21664,42.76672
