"fYear","month","CINAR_poly","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,1,1,358,840.099813490743,472.626724720304,1.23189847328842,1950.05299293436,1.16846946548527,0.721968313937923,0.0702353116315111,4.99073575676481,12.9116179881549,11.6348010364925,0.0113449098703908,51.0348118181209,692.813389705031,729.253187471097,0.200358346975568,2668.58133376276,0.532882673792616,0.49477099574536,0.000150279605592694,2.08377606982223,52.5795263847986,49.7626932094314,0.00446788467524149,198.971735796685,1323.90804652498,1021.57638531989,1.23189847328842,4298.49461958094,1.54059423768682,0.814110194875719,0.122315479750949,5.80389845903415,49.6291643462545,43.7616925867361,0.0113449098703908,199.806544942172
1999,1,2,217,1325.42477785575,526.641204239289,20.4380052467209,2123.79619974901,0.710856025358938,0.587746332579369,0.20322809443213,2.97595828219317,11.5863697330422,13.6504335787278,0.069630917201922,56.1286147998413,1715.21429299362,1055.03909291973,1.50156551235058,3722.33353631768,0.508287427816846,0.456627054359326,0.00026985386223965,2.68070125806889,79.2853755618306,64.8675457003371,0.0051570954734701,334.569669289856,2471.53571096209,1437.41697797031,20.4380052467209,5018.93430511099,1.05049509002918,0.668722010458653,0.236632179138396,3.61535145095831,64.565076905694,60.8865352372958,0.069630917201922,339.7562598139
1999,1,3,98,1129.14792939448,217.636751329674,774.517655919915,1826.29880428915,0.488954942148167,0.167888634916604,0.230587620995104,0.861418348268213,3.9206374395367,2.12844735179625,0.28931219403371,9.61928222588362,3091.06573381744,632.859069790036,1880.2177086107,3925.06437348522,1.27478814739922,0.236738023957308,0.711458061276801,2.16375031276839,177.580170391157,38.1035660727929,101.931027813283,310.825981143644,4220.21366321193,543.581012238481,3260.98358097216,5076.87823389224,1.76374308954738,0.315922685002352,0.94276245939308,2.88279952033239,181.500807830693,39.4324565778512,102.220340007317,316.636401198507
1999,1,4,617,644.266280540727,208.192680395317,12.2866273176405,1243.95551071918,6.46565570241812,4.45952280325828,0.23194125036856,17.4284195064704,19.724760776859,16.6960014231719,0.134013976037426,84.1038429560238,550.223644678754,477.197260431784,0.35767186255841,2072.10930864637,7.46492414210271,10.0174642940698,0.00248537555668178,43.1637736113683,133.650017967338,147.248600045452,0.0200039280548331,679.938496269542,1134.74116639699,501.911043767679,12.2866273176405,2651.57217735184,13.1199640948922,13.0543746495696,0.295145254531421,55.2440108389805,138.861729791504,139.505953843283,0.134013976037426,754.894270069665
1999,1,5,855,600.609538488115,214.276820675112,2.96264799860673,1124.05239109785,16.499873734017,15.4361761533994,0.274280108390295,75.3582641461187,33.7876943635781,21.2247421595203,0.10542608402797,100.014786559683,618.422616173424,393.145794668848,2.27397240723279,1813.48486756739,20.0433409240014,20.496210329997,0.00622430323339292,94.8524320857565,171.493732147879,147.982539537665,0.139490520792028,683.454679744136,996.97865388348,560.564176130993,2.96264799860673,2411.55144001293,29.3463659285817,32.2412188642666,0.274280108390295,165.486403993524,143.704144909821,145.986661746912,0.10542608402797,758.150929440649
1999,1,6,180,553.698362403723,153.722126784412,183.833850097154,944.336235553305,0.295496503098495,0.203369185212545,0.0085730570396158,0.847748257271666,5.48612628982299,5.10828479522329,0.121050812758607,20.1971033196112,1726.47830698618,352.207519005574,796.468080757265,2416.76219998208,0.887273400743305,0.538587228135048,0.0214209816190581,1.97778576735081,123.829270143902,51.1560889951417,27.3384076922772,229.21582208507,2280.1766693899,414.341827860138,1045.63263262397,3150.96354331252,1.1827699038418,0.716299531471523,0.0299940386586739,2.67697787560676,129.315396433725,55.6961162062169,27.4830171856049,249.239238578171
1999,1,7,36,1703.44078920104,123.916861740971,1526.00776572529,2092.02875175023,1.84704745314296,0.787545182700354,0.689110687739286,3.14713713228648,9.40816897031383,12.6613591028916,1.25201568411938,61.3636511902804,2002.0866880317,640.205362626668,20.0051912023396,2831.76074043185,2.28123447724462,1.44654970165765,0.0215099739503214,5.26200166404867,252.045521170756,130.412616340862,0.849528459911385,493.58380393996,3705.52747723274,613.843409558462,1574.61920793153,4475.01622576732,4.12828193038758,2.15758622010726,1.34974718323786,8.31551285051059,261.45369014107,123.036681492931,62.2131796501917,497.657158399409
1999,1,8,44,1462.18048186635,581.310859976784,69.7216212684444,2101.86130864333,3.45451803684196,1.73695224725342,1.07797885566134,7.7536147274888,47.4787473890578,31.9086893373776,0.288428652398756,114.633070334887,654.722185965541,532.6706487447,3.92413233342771,1847.76318964612,0.923925015760253,0.716202803625435,0.00977441615463089,2.9373500515586,97.1520539117531,72.8582920196773,0.183707378290532,243.141839443804,1923.46202197843,994.524446250486,69.7216212684444,3327.58681005011,4.10546520703668,1.63658610970816,1.07797885566134,7.8729576569665,115.926785372338,70.1837439391444,0.288428652398756,253.45346743264
1999,2,1,358,823.122971112025,397.346328984487,0.829703103225013,1614.20965254483,3.6224601130856,1.8829869806509,0.0774457246088316,10.3608548968308,20.6985954982869,18.0888224570248,0.0203584673583703,78.1371571656605,691.263918833328,708.223487239368,0.154907138013102,2520.60529094443,1.58091948944657,1.45335036359643,0.000543943044472806,6.17643949783094,71.6655658148144,63.4413572336083,0.00510407613787043,254.804957365878,1305.84917141463,951.493944893622,0.829703103225013,3983.36223996324,4.7264541699617,1.96842584960784,0.255453880812938,10.5628174282975,70.7443816818165,55.2558681234223,0.0203584673583703,258.292868169421
1999,2,2,217,1742.8261123521,959.502249614757,16.1254206847856,3126.29494406338,2.65455846460611,1.21054057657387,1.01171662095082,7.00442145883749,10.7182097216638,11.9501643544796,0.0768245164947588,49.7744900723162,663.97341974305,446.806703912301,0.695391558872658,2086.41233827589,0.730031746784682,0.790601013493662,0.000811255933215892,5.85866803050546,76.0579165860748,59.6844360941578,0.00529505054348381,301.536985280882,2186.49498729561,1359.68292010291,16.1254206847856,4584.24962305523,3.14236769632859,1.52628454393345,1.0908179385524,10.3124022013491,61.5403198828659,56.4444938101842,0.0768245164947588,306.211494102396
