"fYear","month","polygon","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,1,"ecomon_34",136,834.471,105.301,620.077,1070.193,0.012,0.013,0,0.055,0.344,0.216,0.066,1.144,1340.996,510.552,356.703,2422.805,0.024,0.03,0,0.145,16.777,10.899,1.408,47.416,2175.467,549.223,1125.919,3333.923,0.037,0.042,0.001,0.2,17.12,10.771,2.18,47.869
1999,1,"ecomon_35",39,464.202,299.262,82.408,1125.905,0.055,0.041,0.018,0.178,1.061,1.215,0.056,6.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.202,299.262,82.408,1125.905,0.055,0.041,0.018,0.178,1.061,1.215,0.056,6.326
1999,1,"ecomon_36",93,1211.361,392.63,330.23,2175.299,0.072,0.057,0.014,0.23,3.253,2.381,0.122,10.461,872.998,648.874,14.276,2220.169,0.071,0.081,0,0.308,17.822,17.847,0.01,65.656,1812.134,760.016,330.23,3402.073,0.121,0.126,0.016,0.507,15.518,16.277,0.244,67.315
1999,1,"ecomon_37",123,741.38,136.61,533.253,1115.405,0.051,0.027,0.008,0.122,1.674,1.377,0.128,5.669,2455.482,363.039,1712.603,3162.363,0.175,0.094,0.02,0.374,62.495,22.14,26.517,112.936,3196.861,387.359,2383.85,3859.984,0.227,0.117,0.028,0.459,64.169,23.412,26.69,118.239
1999,1,"ecomon_38",214,640.264,225.252,271.768,1186.43,0.215,0.176,0.009,0.853,4.464,5.184,0.127,20.197,1870.97,420.633,443.46,2841.284,0.667,0.533,0.021,1.978,104.636,56.53,14.014,229.216,2511.234,592.427,1041.511,3831.922,0.883,0.698,0.03,2.677,109.101,61.28,15.699,249.239
1999,1,"ecomon_40",61,958.436,531.756,57.91,1835.964,0.242,0.083,0.114,0.517,7.165,6.035,0.048,19.702,288.439,209.856,16.025,700.631,0.04,0.032,0.002,0.105,5.589,5.777,0.043,19.005,1048.278,655.314,57.91,2437.581,0.254,0.086,0.128,0.517,8.906,8.835,0.048,34.046
1999,1,"ecomon_41",249,1404.933,229.836,988.763,1954.078,0.234,0.13,0.071,1.062,3.522,4.957,0.158,38.714,1826.072,676.719,20.75,3096.346,0.31,0.21,0.001,1.661,54.082,31.331,0.035,215.824,3223.671,572.212,1411.641,4611.597,0.543,0.31,0.1,2.563,57.387,29.918,6.535,218.602
1999,1,"ecomon_42",214,1096.017,206.178,614.693,1548.569,0.43,0.211,0.116,1.024,2.506,2.223,0.167,9.619,2712.963,677.387,1216.909,3925.064,1.044,0.469,0.24,2.681,137.341,56.885,43.631,334.57,3808.98,707.965,2108.031,5076.878,1.474,0.635,0.369,3.615,139.847,58.621,44.433,339.756
1999,1,"ecomon_43",96,1448.457,265.35,885.994,1950.053,0.806,0.176,0.485,1.333,10.223,11.184,0.336,41.273,1362.239,836.727,41.111,3588.115,0.699,0.381,0.043,1.472,90.749,53.704,2.032,228.478,2810.696,910.79,1049.209,4771.071,1.505,0.322,0.919,2.398,100.972,45.393,28.763,232.884
1999,1,"ecomon_44",47,1064.88,397.696,559.907,1813.76,1.105,0.119,0.913,1.466,27.067,12.013,11.148,51.035,102.941,206.545,0.2,992.74,0.079,0.172,0,0.833,9.166,23.203,0.004,110.768,1113.065,488.511,559.907,2739.903,1.142,0.208,0.913,2.3,31.358,21.03,11.148,130.617
1999,1,"ecomon_45",41,1471.92,384.702,651.98,1921.721,0.478,0.263,0.237,1.345,20.828,10.993,3.213,47.766,317.334,336.525,1.502,1345.991,0.077,0.085,0,0.329,9.16,14.89,0.005,51.691,1626.717,587.376,651.98,3184.483,0.516,0.277,0.237,1.345,25.296,15.451,3.213,71.756
1999,1,"ecomon_46",27,1829.538,147.288,1634.247,2123.796,1.197,0.372,0.796,2.105,14.037,15.005,1.448,56.129,1622.735,782.43,226.555,2623.742,1.176,0.869,0.159,3.327,162.449,102.408,25.719,383.813,3452.273,683.987,2156.837,4325.69,2.373,1.189,1.095,5.432,176.486,91.136,67.749,385.579
1999,1,"ecomon_47",135,668.379,150.502,363.212,1065.598,0.975,0.613,0.189,4.113,12.401,7.354,0.313,29.055,328.644,354.691,1.313,1307.25,0.461,0.491,0.001,2.084,32.22,31.867,0.02,112.537,965.375,440.43,363.212,2251.586,1.392,0.97,0.229,5.804,41.519,27.122,5.242,113.115
1999,1,"WSS",358,840.1,472.627,1.232,1950.053,1.168,0.722,0.07,4.991,12.912,11.635,0.011,51.035,692.813,729.253,0.2,2668.581,0.533,0.495,0,2.084,52.58,49.763,0.004,198.972,1323.908,1021.576,1.232,4298.495,1.541,0.814,0.122,5.804,49.629,43.762,0.011,199.807
1999,1,"EGOM",217,1325.425,526.641,20.438,2123.796,0.711,0.588,0.203,2.976,11.586,13.65,0.07,56.129,1715.214,1055.039,1.502,3722.334,0.508,0.457,0,2.681,79.285,64.868,0.005,334.57,2471.536,1437.417,20.438,5018.934,1.05,0.669,0.237,3.615,64.565,60.887,0.07,339.756
1999,1,"JB",98,1129.148,217.637,774.518,1826.299,0.489,0.168,0.231,0.861,3.921,2.128,0.289,9.619,3091.066,632.859,1880.218,3925.064,1.275,0.237,0.711,2.164,177.58,38.104,101.931,310.826,4220.214,543.581,3260.984,5076.878,1.764,0.316,0.943,2.883,181.501,39.432,102.22,316.636
1999,1,"Browns",669,624.311,213.289,12.287,1243.956,6.571,4.364,0.232,17.428,24.045,22.542,0.134,108.485,579.875,472.691,0.358,2072.109,8.343,10.129,0.002,43.164,172.011,192.667,0.02,787.756,1146.111,494.144,12.287,2651.572,14.079,13.172,0.295,55.244,178.83,197.305,0.134,896.242
